item,owned
Fish Bone Mii Racing Suit,False
Light Green Mii Racing Suit,False
Wiggler Mii Racing Suit,False
Toadette Mii Racing Suit,True
Blooper Mii Racing Suit,False
Orange Mii Racing Suit,True
Light Blue Mii Racing Suit,False
Koopa Clown Mii Racing Suit,True
Pipe Frame,True
Birthday Girl,True
Mushmellow,True
Koopa Dasher,True
Biddybuggy,True
Blue Biddybuggy,True
Cheep Charger,True
Pink Mushmellow,True
Birthday Girl Rosalina,True
Green Kiddie Kart,True
Red Kiddie Kart,True
Bullet Blaster,True
Bull's-Eye Banzai,True
Landship,True
Pipe Buggy,True
Warship,True
Green Cheep Charger,True
Mach 8,True
Daytripper,True
Turbo Yoshi,True
Soda Jet,True
Super Blooper,True
Gold Blooper,True
Royale,True
Cloud 9,True
Poltergust 4000,True
Streamliner,True
White Royale,True
Zucchini,True
Red Streamliner,True
Red Turbo Yoshi,True
Blue Seven,True
Super 1,True
Dasher II,True
Tea Coupe,True
Yellow Turbo Birdo,True
Egg 1,True
Birthday Girl Daisy,True
Red Standard 8,False
Green Standard 8,False
Cucumber,True
Blue Royale,False
Blue Turbo Yoshi,False
Orange Turbo Yoshi,False
Pink Turbo Yoshi,False
Light-blue Turbo Yoshi,False
Yellow Turbo Yoshi,True
Flame Flyer,True
Barrel Train,True
DK Jumbo,True
Chrome DK Jumbo,True
Koopa Clown,True
Dark Clown,True
Para-Wing,True
Turbo Birdo,True
Light-blue Turbo Birdo,True
Bolt Buggy,True
Rambi Rider,False
Blue Turbo Birdo,False
Orange Turbo Birdo,False
Red Turbo Birdo,True
Green Turbo Birdo,True
B Dasher,True
Black B Dasher,True
Yellow Taxi,True
Quickshaw,False
Kabuki Dasher,False
Circuit Special,False
Black Circuit,False
Bumble V,False
Queen Bee,True
Trickster,False
Ghost Ride,False
Macharon,True
Carrot Kart,False
Cheermellow,False
Wild Wing,True
Radish Rider,True
Wildfire Flyer,False
Ribbon Rider,False
Double-Decker,False
Swift Jack,False
Red B Dasher,True
Jingle Bells,False
Platinum Taxi,False
Glam Bruiser,True
Gilded Prancer,False
Ice-blue Poltergust,False
P-Wing,True
Apple Kart,True
Comet Tail,False
Bright Bunny,False
Dozer Dasher,True
Clanky Kart,False
Wild Black,False
Karp Kart,False
Prancer,False
Rose Queen,True
Green Apple Kart,False
Choco Macharon,False
Gold Egg,False
Sweet Daytripper,False
Red Taxi,False
Pink Wing,False
Happy Ride,False
Blue Soda,False
Clackety Kart,False
Gold Clanky Kart,False
Festival Girl,True
Black Kabuki Dasher,False
8-Bit Pipe Frame,True
Gold Pipe Frame,True
Surf Sailer,True
Star-Spangled Flyer,False
Green Circuit,False
Sports Coupe,False
Pumpkin Kart,True
Dark Trickster,False
Sunset Cloud,True
Steel Driver,True
Holiday King,False
Gold Snow Skimmer,False
Dreamy Egg,False
Fast Frank,False
Iron Cucumber,True
Cat Cruiser,False
Wild Pink,True
Rose Taxi,False
B Dasher Mk. 2,False
Decal Streamliner,False
Orange Streamliner,False
White Turbo Yoshi,False
Sakura Quickshaw,False
Jet Cruiser,True
Inferno Flyer,False
Rambi Runner,False
Pink Dozer,False
Grand Badwagon,False
Paintster,False
Lime Tea Coupe,True
Sunny Surf Sailer,False
Pinch Hitter,False
Cleanup Hitter,False
Ice Dozer,False
Green Double-Decker,False
Black Cat Cruiser,True
Red B Dasher Mk. 2,False
Pink B Dasher Mk. 2,False
Classic B Dasher Mk. 2,False
Sky-Blue B Dasher Mk. 2,False
Metal B Dasher Mk. 2,False
Cream B Dasher Mk. 2,False
Green B Dasher Mk. 2,False
Tanooki Kart,False
Gold Pumpkin Kart,False
Lunar Cruiser,False
Sleigh Rider,False
White Snow Skimmer,False
Frosty Bells,False
Frost Wing,False
Gray Cat Cruiser,False
Sports Coupe 2022,False
Roaring Racer,False
Jukebox Buggy,True
Sneeker,True
Green Lightning,True
Cupid's Arrow,False
Wild Slugger,False
Prop Kart,True
Magma Broom,False
Star Broom,False
Yellow 8-Bit Pipe Frame,False
Warrior Wagon,False
Armored Rider,False
Black Turbo Yoshi,False
Gold Bunny,False
Flower Kart,False
Dragonfly,False
Firefly,False
Daikon Rocket,False
Capsule Kart,False
Blue-Green Capsule Kart,False
White Bruiser,False
Coconut 1,True
Pink Capsule Kart,False
Cream Cat Cruiser,False
Green Cat Cruiser,False
Goo-Goo Buggy,True
Goo-Goo Pink,False
Gold Kiddie Kart,False
Sweet Ride,False
White Fast Frank,False
Tuk-Tuk Kart,False
Tropical Truck,True
Gold Zucchini,False
Lightning Streamliner,False
Flowery Badwagon,False
Coral Jet Cruiser,False
Watermelon Kart,False
Ice-Cream Minibus,False
Chocolate Banana Minibus,False
Strawberry Soft Swerve,False
Shielded Speedster,False
Gold Standard,True
Gold Double-Decker,False
Black Carriage,False
Green Speeder,False
Flaming Speeder,False
Gold Sweet Ride,False
Streetle,False
Blue Speeder,False
Swift Talon,False
Gold Eagle,False
Blazing Eagle,False
Camo Tanooki Kart,False
Gold Rambi Rider,False
Moo Moo Offroader,False
Pink Speeder,False
Pink Sneeker,False
Gold Jingle Bell,False
Holiday Speeder,False
Wild Gold,False
Rainbow Taxi,False
Blooper Shuttle,False
Gold Lunar Cruiser,False
Gold Quickshaw,False
Pineapple 1,True
Hot Pot Hot Rod,False
Rainbow Streetle,False
Gold Capsule Kart,False
Gold 8-Bit Pipe Frame,False
Taiko Drum Dasher,False
Sakura Sports Coupe,False
Bright Girl,False
Huffin Puffin Egg,False
Jumbo Jetter,False
Gold Paintster,False
Silver Flower Kart,False
Bronze Cucumber,False
Cream Classic,False
Red Comet,False
Pink Comet,False
Green Comet,False
Gold Comet,False
Mach 8-R,False
Gold Cupid's Arrow,False
Silver Cupid's Arrow,False
Silver Warrior Wagon,False
Gold Warrior Wagon,True
Black Shielded Speedster,False
Gold Shielded Speedster,False
Yeehaw Wagon,False
Desert Rose Wagon,False
Yellow Sub Scooter,False
Blue Sub Scooter,False
Gold Driver,False
Dolphin Drifter,False
Purple Rattle Buggy,False
Goo-Goo Gold,False
Gold Wild Slugger,True
Spicy Zucchini,True
Chocolate Mint Soft Swerve,False
Gold Soft Swerve,False
Monarch Kart,True
Gold Monarch Kart,False
Black B Dasher Mk. 2,False
Gold B Dasher,False
Badwagon,False
Blue Badwagon,False
Gold Train,True
Bruiser,True
Snow Skimmer,False
Offroader,False
Banana Master,False
Poison Apple Kart,True
Cheep Snorkel,False
Gold Cheep Snorkel,False
Gold Cheep Charger,True
Dark Buggy,True
Koopa King,False
Brown Offroader,False
Cact-X,False
Pirate Sushi Racer,False
Silver Bullet Blaster,True
Head Honcho,False
DK Maximum,False
Sushi Racer,True
Gilded King,True
Crawly Kart,True
Black Dozer,True
Party-Wing,False
Penguin Slider,False
Black Penguin Slider,False
Cact-Ice,False
Black Turbo Birdo,True
Purple Bunny,False
Jade Hop Rod,False
Crimson Hop Rod,False
Dark Hop Rod,False
Kamek's Zoom Broom,False
Silver King,False
Vampire Flyer,False
Red Crawly Kart,False
Yellow Offroader,False
Cact-R,False
Cheership,False
Candy Clown,False
Tiger Bruiser,False
Combo Cruiser,False
Sakura Hop Rod,False
White Turbo Birdo,False
Green-Yellow Capsule Kart,False
Piranha Pipes,False
Red Offroader,False
Goo-Goo Black,False
Cact-B,False
Gold Bullet Blaster,False
Red Vampire Flyer,True
Gold Trickster,False
Gold Bruiser,False
Black Sneeker,False
Purple Dozer,False
Blue Crawly Kart,False
Rainbow Pipe Buggy,False
Gold Hop Rod,False
Black Jingle Bell,False
Gold Sushi Racer,False
Dry Bones Dasher,False
Waluigi Racer Mk. 2,False
Chain Chomp Chariot,False
Fish Bone Ferry,False
Gold Fish Bone Ferry,False
Wiggler Egg,True
Boo Pipes,False
Gold Pipes,False
Wild Wiggler,True
Super Glider,True
Parachute,True
Parafoil,True
Paper Glider,True
Droplet Glider,True
BBIA Parafoil,True
Minion Paper Glider,True
Piston Glider,True
Piranha Plant Parafoil,True
Peach Parasol,True
Flower Glider,True
Oilpaper Umbrella,True
Lightning Oilpaper,True
Pink Flower Glider,True
8-Bit Jumping Mario,True
? Block,True
Plaid Ribbon,True
Eggshell Glider,True
8-Bit Jumping Luigi,True
Mushroom Glider,True
Bob-omb Parafoil,True
Shell Parachute,True
Wario Wing,True
Waluigi Wing,True
